#include        | PREPROCESSOR    | Len: 8   | Line: 1 | Pos: 0
(               | SEPARATOR       | Len: 1   | Line: 43 | Pos: 804
25              | NUMBER          | Len: 2   | Line: 43 | Pos: 805
)               | SEPARATOR       | Len: 1   | Line: 43 | Pos: 807
;               | SEPARATOR       | Len: 1   | Line: 43 | Pos: 808
cout            | IDENTIFIER      | Len: 4   | Line: 44 | Pos: 814
<<              | OPERATOR        | Len: 2   | Line: 44 | Pos: 819
"Pointer value: " | STRING          | Len: 17  | Line: 44 | Pos: 822
<<              | OPERATOR        | Len: 2   | Line: 44 | Pos: 840
*               | OPERATOR        | Len: 1   | Line: 44 | Pos: 843
ptr             | IDENTIFIER      | Len: 3   | Line: 44 | Pos: 844
<<              | OPERATOR        | Len: 2   | Line: 44 | Pos: 848
endl            | IDENTIFIER      | Len: 4   | Line: 44 | Pos: 851
;               | SEPARATOR       | Len: 1   | Line: 44 | Pos: 855
delete          | KEYWORD         | Len: 6   | Line: 45 | Pos: 861
ptr             | IDENTIFIER      | Len: 3   | Line: 45 | Pos: 868
;               | SEPARATOR       | Len: 1   | Line: 45 | Pos: 871
// Testăm un switch-case | COMMENT         | Len: 24  | Line: 47 | Pos: 878
char            | KEYWORD         | Len: 4   | Line: 48 | Pos: 907
grade           | IDENTIFIER      | Len: 5   | Line: 48 | Pos: 912
=               | OPERATOR        | Len: 1   | Line: 48 | Pos: 918
'B'             | CHAR            | Len: 3   | Line: 48 | Pos: 920
;               | SEPARATOR       | Len: 1   | Line: 48 | Pos: 923
switch          | KEYWORD         | Len: 6   | Line: 49 | Pos: 929
(               | SEPARATOR       | Len: 1   | Line: 49 | Pos: 936
grade           | IDENTIFIER      | Len: 5   | Line: 49 | Pos: 937
)               | SEPARATOR       | Len: 1   | Line: 49 | Pos: 942
{               | SEPARATOR       | Len: 1   | Line: 49 | Pos: 944
case            | KEYWORD         | Len: 4   | Line: 50 | Pos: 954
'A'             | CHAR            | Len: 3   | Line: 50 | Pos: 959
:               | SEPARATOR       | Len: 1   | Line: 50 | Pos: 962
cout            | IDENTIFIER      | Len: 4   | Line: 51 | Pos: 976
<<              | OPERATOR        | Len: 2   | Line: 51 | Pos: 981
"Excellent!"    | STRING          | Len: 12  | Line: 51 | Pos: 984
<<              | OPERATOR        | Len: 2   | Line: 51 | Pos: 997
endl            | IDENTIFIER      | Len: 4   | Line: 51 | Pos: 1000
;               | SEPARATOR       | Len: 1   | Line: 51 | Pos: 1004
break           | KEYWORD         | Len: 5   | Line: 52 | Pos: 1018
;               | SEPARATOR       | Len: 1   | Line: 52 | Pos: 1023
case            | KEYWORD         | Len: 4   | Line: 53 | Pos: 1033
'B'             | CHAR            | Len: 3   | Line: 53 | Pos: 1038
:               | SEPARATOR       | Len: 1   | Line: 53 | Pos: 1041
cout            | IDENTIFIER      | Len: 4   | Line: 54 | Pos: 1055
<<              | OPERATOR        | Len: 2   | Line: 54 | Pos: 1060
"Good job!"     | STRING          | Len: 11  | Line: 54 | Pos: 1063
<<              | OPERATOR        | Len: 2   | Line: 54 | Pos: 1075
endl            | IDENTIFIER      | Len: 4   | Line: 54 | Pos: 1078
;               | SEPARATOR       | Len: 1   | Line: 54 | Pos: 1082
break           | KEYWORD         | Len: 5   | Line: 55 | Pos: 1096
;               | SEPARATOR       | Len: 1   | Line: 55 | Pos: 1101
case            | KEYWORD         | Len: 4   | Line: 56 | Pos: 1111
'C'             | CHAR            | Len: 3   | Line: 56 | Pos: 1116
:               | SEPARATOR       | Len: 1   | Line: 56 | Pos: 1119
cout            | IDENTIFIER      | Len: 4   | Line: 57 | Pos: 1133
<<              | OPERATOR        | Len: 2   | Line: 57 | Pos: 1138
"You passed."   | STRING          | Len: 13  | Line: 57 | Pos: 1141
<<              | OPERATOR        | Len: 2   | Line: 57 | Pos: 1155
endl            | IDENTIFIER      | Len: 4   | Line: 57 | Pos: 1158
;               | SEPARATOR       | Len: 1   | Line: 57 | Pos: 1162
break           | KEYWORD         | Len: 5   | Line: 58 | Pos: 1176
;               | SEPARATOR       | Len: 1   | Line: 58 | Pos: 1181
default         | KEYWORD         | Len: 7   | Line: 59 | Pos: 1191
:               | SEPARATOR       | Len: 1   | Line: 59 | Pos: 1198
cout            | IDENTIFIER      | Len: 4   | Line: 60 | Pos: 1212
<<              | OPERATOR        | Len: 2   | Line: 60 | Pos: 1217
"Invalid grade" | STRING          | Len: 15  | Line: 60 | Pos: 1220
<<              | OPERATOR        | Len: 2   | Line: 60 | Pos: 1236
endl            | IDENTIFIER      | Len: 4   | Line: 60 | Pos: 1239
;               | SEPARATOR       | Len: 1   | Line: 60 | Pos: 1243
}               | SEPARATOR       | Len: 1   | Line: 61 | Pos: 1249
// Testăm un șir de caractere multi-linie | COMMENT         | Len: 41  | Line: 63 | Pos: 1256
string          | IDENTIFIER      | Len: 6   | Line: 64 | Pos: 1302
